,kmer_A,kmer_C,kmer_D,kmer_E,kmer_F,kmer_G,kmer_H,kmer_I,kmer_K,kmer_L,kmer_M,kmer_N,kmer_P,kmer_Q,kmer_R,kmer_S,kmer_T,kmer_V,kmer_W,kmer_Y
YPL060C-A,0.025,0.01,0.085,0.095,0.04,0.02,0.01,0.1,0.1,0.09,0.01,0.095,0.025,0.04,0.055,0.035,0.075,0.06,0.0,0.03
YFL026W,0.065,0.005,0.03,0.01,0.065,0.065,0.01,0.1,0.025,0.095,0.035,0.05,0.025,0.04,0.025,0.105,0.105,0.085,0.005,0.055
YPL228W,0.06,0.0,0.1,0.1,0.015,0.06,0.025,0.04,0.095,0.05,0.02,0.09,0.05,0.065,0.025,0.11,0.045,0.03,0.0,0.02
YDR110W,0.03,0.015,0.08,0.07,0.035,0.04,0.03,0.045,0.08,0.105,0.025,0.045,0.03,0.045,0.065,0.09,0.06,0.055,0.005,0.05
YPL081W,0.1065989847715736,0.0,0.06091370558375635,0.08121827411167512,0.03553299492385787,0.050761421319796954,0.02030456852791878,0.04568527918781726,0.09137055837563451,0.10152284263959391,0.01015228426395939,0.02030456852791878,0.04568527918781726,0.025380710659898477,0.116751269035533,0.06091370558375635,0.03553299492385787,0.06091370558375635,0.0,0.030456852791878174
YDR204W,0.085,0.005,0.04,0.075,0.035,0.05,0.035,0.045,0.055,0.135,0.035,0.05,0.06,0.025,0.08,0.045,0.055,0.04,0.01,0.04
YAR009C,0.025,0.025,0.05,0.04,0.06,0.03,0.045,0.09,0.06,0.08,0.025,0.045,0.055,0.045,0.05,0.09,0.075,0.04,0.01,0.06
YHR214C-B,0.055,0.01,0.035,0.025,0.03,0.045,0.03,0.025,0.04,0.035,0.04,0.06,0.145,0.085,0.005,0.155,0.08,0.04,0.01,0.05
YHR167W,0.045,0.01,0.08,0.095,0.015,0.03,0.015,0.05,0.075,0.14,0.015,0.035,0.03,0.055,0.065,0.085,0.055,0.05,0.005,0.05
YLR390W-A,0.14,0.04,0.025,0.045,0.005,0.01,0.01,0.005,0.06,0.055,0.005,0.025,0.025,0.025,0.005,0.385,0.07,0.05,0.0,0.015
YLR421C,0.02564102564102564,0.01282051282051282,0.057692307692307696,0.1346153846153846,0.04487179487179487,0.05128205128205128,0.0,0.07051282051282051,0.07051282051282051,0.07051282051282051,0.03205128205128205,0.0641025641025641,0.057692307692307696,0.03205128205128205,0.038461538461538464,0.10897435897435898,0.02564102564102564,0.057692307692307696,0.02564102564102564,0.019230769230769232
YPL249C-A,0.12,0.0,0.01,0.05,0.02,0.07,0.01,0.08,0.14,0.06,0.03,0.05,0.03,0.01,0.12,0.07,0.05,0.06,0.0,0.02
YOR298C-A,0.09271523178807947,0.0,0.06622516556291391,0.033112582781456956,0.0,0.09271523178807947,0.0,0.052980132450331126,0.10596026490066225,0.059602649006622516,0.013245033112582781,0.0728476821192053,0.046357615894039736,0.046357615894039736,0.09933774834437085,0.06622516556291391,0.059602649006622516,0.0728476821192053,0.006622516556291391,0.013245033112582781
YKL053C-A,0.09302325581395349,0.046511627906976744,0.046511627906976744,0.11627906976744186,0.046511627906976744,0.05813953488372093,0.0,0.023255813953488372,0.12790697674418605,0.05813953488372093,0.023255813953488372,0.05813953488372093,0.03488372093023256,0.023255813953488372,0.011627906976744186,0.06976744186046512,0.046511627906976744,0.046511627906976744,0.023255813953488372,0.046511627906976744
YEL020W-A,0.034482758620689655,0.04597701149425287,0.04597701149425287,0.09195402298850575,0.06896551724137931,0.04597701149425287,0.011494252873563218,0.011494252873563218,0.10344827586206896,0.08045977011494253,0.04597701149425287,0.05747126436781609,0.0,0.11494252873563218,0.05747126436781609,0.05747126436781609,0.05747126436781609,0.05747126436781609,0.0,0.011494252873563218
YDL045W-A,0.05263157894736842,0.042105263157894736,0.021052631578947368,0.031578947368421054,0.0,0.05263157894736842,0.031578947368421054,0.042105263157894736,0.10526315789473684,0.11578947368421053,0.031578947368421054,0.07368421052631578,0.08421052631578947,0.031578947368421054,0.06315789473684211,0.09473684210526316,0.021052631578947368,0.05263157894736842,0.010526315789473684,0.042105263157894736
YJR048W,0.06422018348623854,0.027522935779816515,0.03669724770642202,0.06422018348623854,0.03669724770642202,0.11009174311926606,0.03669724770642202,0.03669724770642202,0.14678899082568808,0.07339449541284404,0.027522935779816515,0.06422018348623854,0.03669724770642202,0.01834862385321101,0.027522935779816515,0.03669724770642202,0.07339449541284404,0.027522935779816515,0.009174311926605505,0.045871559633027525
YFR033C,0.06802721088435375,0.013605442176870748,0.14965986394557823,0.24489795918367346,0.027210884353741496,0.04081632653061224,0.047619047619047616,0.013605442176870748,0.061224489795918366,0.07482993197278912,0.013605442176870748,0.02040816326530612,0.02040816326530612,0.05442176870748299,0.02040816326530612,0.0,0.034013605442176874,0.061224489795918366,0.006802721088435374,0.027210884353741496
YDR529C,0.10236220472440945,0.007874015748031496,0.05511811023622047,0.09448818897637795,0.023622047244094488,0.023622047244094488,0.023622047244094488,0.08661417322834646,0.07086614173228346,0.12598425196850394,0.015748031496062992,0.03937007874015748,0.06299212598425197,0.03937007874015748,0.05511811023622047,0.047244094488188976,0.031496062992125984,0.03937007874015748,0.007874015748031496,0.047244094488188976
Q0105,0.07,0.015,0.015,0.01,0.075,0.07,0.04,0.1,0.01,0.09,0.065,0.055,0.03,0.02,0.03,0.095,0.035,0.085,0.03,0.06
YML054C,0.085,0.015,0.055,0.05,0.02,0.05,0.02,0.06,0.105,0.095,0.015,0.055,0.09,0.035,0.04,0.06,0.045,0.055,0.015,0.035
YOL086C,0.115,0.03,0.04,0.045,0.01,0.13,0.045,0.05,0.065,0.085,0.025,0.035,0.05,0.035,0.005,0.05,0.03,0.08,0.025,0.05
YMR303C,0.12,0.03,0.04,0.055,0.01,0.125,0.045,0.055,0.065,0.085,0.02,0.04,0.055,0.025,0.01,0.05,0.035,0.065,0.025,0.045
YJR009C,0.1,0.01,0.075,0.04,0.035,0.07,0.035,0.075,0.065,0.05,0.035,0.05,0.035,0.02,0.045,0.065,0.075,0.085,0.01,0.025
YGR192C,0.1,0.01,0.075,0.04,0.03,0.075,0.03,0.07,0.065,0.05,0.03,0.05,0.04,0.015,0.045,0.065,0.08,0.09,0.01,0.03
YJL052W,0.095,0.01,0.08,0.025,0.025,0.075,0.035,0.08,0.08,0.05,0.025,0.04,0.04,0.02,0.045,0.06,0.08,0.095,0.01,0.03
Q0045,0.09,0.005,0.015,0.01,0.065,0.08,0.025,0.08,0.01,0.165,0.055,0.045,0.045,0.02,0.02,0.08,0.07,0.075,0.02,0.025
Q0250,0.055,0.01,0.07,0.055,0.05,0.035,0.02,0.115,0.03,0.115,0.035,0.025,0.05,0.03,0.015,0.05,0.075,0.08,0.02,0.065
Q0275,0.09,0.01,0.02,0.03,0.06,0.06,0.045,0.075,0.01,0.14,0.045,0.035,0.045,0.02,0.025,0.075,0.075,0.08,0.025,0.035
YNL052W,0.0915032679738562,0.0,0.032679738562091505,0.05228758169934641,0.032679738562091505,0.0784313725490196,0.006535947712418301,0.026143790849673203,0.0718954248366013,0.08496732026143791,0.032679738562091505,0.0457516339869281,0.0392156862745098,0.0718954248366013,0.058823529411764705,0.09803921568627451,0.0457516339869281,0.06535947712418301,0.0392156862745098,0.026143790849673203
YKR066C,0.11,0.005,0.045,0.04,0.045,0.105,0.03,0.025,0.06,0.075,0.01,0.045,0.045,0.03,0.05,0.095,0.06,0.05,0.03,0.045
YJR104C,0.08441558441558442,0.012987012987012988,0.05844155844155844,0.06493506493506493,0.03896103896103896,0.14285714285714285,0.03896103896103896,0.03896103896103896,0.06493506493506493,0.03896103896103896,0.012987012987012988,0.05194805194805195,0.05194805194805195,0.01948051948051948,0.025974025974025976,0.07142857142857142,0.06493506493506493,0.11038961038961038,0.0,0.006493506493506494
YCR012W,0.085,0.005,0.06,0.075,0.04,0.06,0.035,0.035,0.09,0.12,0.01,0.035,0.04,0.03,0.055,0.08,0.02,0.095,0.0,0.03
YBR093C,0.065,0.01,0.085,0.045,0.07,0.08,0.015,0.045,0.05,0.08,0.03,0.05,0.035,0.045,0.04,0.075,0.07,0.045,0.005,0.06
YIL162W,0.075,0.005,0.075,0.045,0.06,0.05,0.015,0.045,0.05,0.06,0.025,0.07,0.06,0.045,0.025,0.08,0.075,0.035,0.045,0.06
YMR297W,0.055,0.01,0.09,0.05,0.05,0.065,0.015,0.05,0.085,0.14,0.01,0.055,0.065,0.03,0.015,0.065,0.055,0.045,0.025,0.025
YBR011C,0.06,0.005,0.075,0.08,0.035,0.06,0.025,0.095,0.09,0.065,0.015,0.065,0.07,0.025,0.03,0.01,0.07,0.06,0.02,0.045
YJR121W,0.105,0.005,0.03,0.065,0.025,0.105,0.015,0.085,0.065,0.09,0.015,0.015,0.065,0.03,0.05,0.06,0.075,0.085,0.005,0.01
Q0085,0.04,0.005,0.015,0.015,0.08,0.065,0.015,0.135,0.02,0.175,0.035,0.06,0.035,0.02,0.02,0.085,0.075,0.045,0.02,0.04
YNR001C,0.11,0.005,0.025,0.105,0.04,0.065,0.02,0.065,0.075,0.115,0.02,0.01,0.05,0.05,0.05,0.085,0.05,0.035,0.01,0.015
